timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent,pct_change,volatility
2020-07-09 00:00:00,0.8534529805183411,0.7940179705619812,0.8823580145835876,2668724,0.759905993938446,0.8534529805183411,SOL,5,16,60,17,5,7.121759821812934,5.8625938650564295
2020-07-10 00:00:00,0.9135599732398988,0.8533040285110474,0.9396290183067322,1856095,0.8428500294685364,0.9135599732398988,SOL,3,14,58,16,4,7.042800727586895,5.738305398238892
2020-07-11 00:00:00,0.9246240258216858,0.9135599732398988,0.926347017288208,1788814,0.8590949773788452,0.9246240258216858,SOL,4,13,58,17,5,1.2110920909274014,5.705245363130824
2020-07-12 00:00:00,1.0167160034179688,0.9238560199737548,1.130977988243103,4693371,0.9141169786453248,1.0167160034179688,SOL,5,15,61,17,6,9.959937771943949,5.834815083943337
2020-07-13 00:00:00,1.175734043121338,1.0167160034179688,1.2876629829406738,4062069,1.0088839530944824,1.175734043121338,SOL,3,13,62,18,4,15.640359664723146,6.492788530167629
2020-07-14 00:00:00,1.148074984550476,1.172476053237915,1.2460060119628906,2213135,1.1191660165786743,1.148074984550476,SOL,3,13,63,18,4,-2.3524927880316016,6.583194058075654
2020-07-15 00:00:00,1.289597988128662,1.147523045539856,1.3968349695205688,3355229,1.1414580345153809,1.289597988128662,SOL,4,16,56,16,5,12.32698259979934,6.793364830936957
2020-07-16 00:00:00,0.8724409937858582,1.28403902053833,1.3749669790267944,7486568,0.8550440073013306,0.8724409937858582,SOL,5,15,62,16,4,-32.34783228439595,10.452216810707128
2020-07-17 00:00:00,0.9778370261192322,0.870760977268219,1.0468419790267944,8973774,0.8018839955329895,0.9778370261192322,SOL,5,14,61,17,8,12.08059147656737,10.639615193951943
2020-07-18 00:00:00,0.966583013534546,0.9775149822235109,1.000715970993042,2923007,0.9317259788513184,0.966583013534546,SOL,4,13,60,22,6,-1.150908820598695,10.410746123478306
2020-07-19 00:00:00,0.9203490018844604,0.9680039882659912,0.9703540205955504,2206671,0.8995149731636047,0.9203490018844604,SOL,4,15,62,20,4,-4.783242722321345,10.426443817817242
2020-07-20 00:00:00,0.8730890154838562,0.92051500082016,0.9215840101242064,3036871,0.8518779873847961,0.8730890154838562,SOL,3,13,58,22,6,-5.135007079253318,10.515466054107558
2020-07-21 00:00:00,0.9771659970283508,0.8729280233383179,1.008254051208496,4299502,0.8603159785270691,0.9771659970283508,SOL,5,14,62,16,4,11.920546438992407,10.763678384089312
2020-07-22 00:00:00,1.044087052345276,0.9771980047225952,1.1047040224075315,5295002,0.9724850058555604,1.044087052345276,SOL,3,13,57,19,8,6.848483831860519,10.668498595410178
2020-07-23 00:00:00,1.0498440265655518,1.0461549758911133,1.1012179851531982,2970423,0.9973940253257751,1.0498440265655518,SOL,4,14,63,18,4,0.5513883356128346,10.641110765059777
2020-07-24 00:00:00,0.9953460097312928,1.0498440265655518,1.053954005241394,1991763,0.974780023097992,0.9953460097312928,SOL,5,17,58,16,5,-5.191058429178586,10.768329826349827
2020-07-25 00:00:00,1.252223014831543,0.9954400062561036,1.4327399730682373,9978279,0.9953969717025756,1.252223014831543,SOL,4,14,61,16,4,25.80780980571746,11.54791447632
2020-07-26 00:00:00,1.5651099681854248,1.2447279691696167,1.6246479749679563,10463130,1.2382830381393433,1.5651099681854248,SOL,3,13,57,21,7,24.98651994476986,12.479938983344278
2020-07-27 00:00:00,1.7786359786987305,1.5650980472564695,2.0427401065826416,32838355,1.5610870122909546,1.7786359786987305,SOL,4,13,59,19,6,13.642875890750727,12.63200151963648
2020-07-28 00:00:00,1.7840670347213743,1.7841110229492188,1.858672022819519,9692632,1.6117689609527588,1.7840670347213743,SOL,3,13,58,20,4,0.3053494974625037,12.677915015056078
2020-07-29 00:00:00,1.6582889556884766,1.785662055015564,2.095622062683105,10348945,1.5931659936904907,1.6582889556884766,SOL,5,14,61,16,4,-7.050075842724213,12.941926545807794
2020-07-30 00:00:00,1.6868070363998413,1.6582889556884766,1.7964489459991455,5222980,1.6357120275497437,1.6868070363998413,SOL,4,13,60,19,6,1.7197292796010233,12.935460182222226
2020-07-31 00:00:00,1.5381779670715332,1.6868070363998413,1.6884880065917969,4822046,1.5104049444198608,1.5381779670715332,SOL,4,14,56,18,7,-8.811266856316157,13.237732021404048
2020-08-01 00:00:00,1.526610016822815,1.5327589511871338,1.6622289419174194,4589882,1.4988720417022705,1.526610016822815,SOL,5,15,60,17,4,-0.75205538607096,13.176974600028009
2020-08-02 00:00:00,1.7428100109100342,1.5299099683761597,1.746822953224182,7216576,1.411972999572754,1.7428100109100342,SOL,4,13,57,17,9,14.162097176407595,13.105778726436737
2020-08-03 00:00:00,1.802610993385315,1.7322900295257568,1.8300340175628664,5836036,1.6687259674072266,1.802610993385315,SOL,3,13,57,21,6,3.4312967048000242,13.048885407483953
2020-08-04 00:00:00,1.8716390132904053,1.8000119924545288,1.949874997138977,5495665,1.794983983039856,1.8716390132904053,SOL,4,14,59,18,6,3.8293353451404055,12.87072724529156
2020-08-05 00:00:00,1.7545499801635742,1.870736002922058,1.8881219625473025,5405764,1.709509015083313,1.7545499801635742,SOL,5,15,61,18,5,-6.255962410239812,10.1698929150126
2020-08-06 00:00:00,2.206347942352295,1.7545499801635742,2.228003025054932,11143557,1.7467830181121826,2.206347942352295,SOL,4,14,61,16,4,25.75007650375398,11.15281647350818
2020-08-07 00:00:00,2.0859029293060303,2.203166007995605,2.203166007995605,8068102,1.8855719566345213,2.0859029293060303,SOL,4,13,60,22,9,-5.459021704339717,11.312058298150161
2020-08-08 00:00:00,2.4736249446868896,2.08388900756836,2.5695900917053223,10919229,2.0265378952026367,2.4736249446868896,SOL,4,13,61,18,5,18.587730518689693,11.510619667785994
2020-08-09 00:00:00,2.6652278900146484,2.4715559482574463,2.7068231105804443,12107837,2.30250096321106,2.6652278900146484,SOL,4,13,57,17,7,7.745836560198982,11.232744731791104
2020-08-10 00:00:00,3.1317930221557617,2.6652278900146484,3.3979289531707764,22863251,2.525897979736328,3.1317930221557617,SOL,3,16,63,22,4,17.505637468717516,11.447503284522808
2020-08-11 00:00:00,3.30341911315918,3.131042003631592,3.48653507232666,36356155,2.753633975982666,3.30341911315918,SOL,5,17,62,17,4,5.480122402382781,11.44982592772694
2020-08-12 00:00:00,3.769751071929932,3.307957887649536,3.916167974472046,28461707,3.103979110717773,3.769751071929932,SOL,4,14,61,18,4,14.116645293753894,11.480685733237904
2020-08-13 00:00:00,3.75597095489502,3.770703077316284,4.155814170837402,28236179,3.528520107269287,3.75597095489502,SOL,4,14,58,19,5,-0.36554448216808977,11.255566982420335
2020-08-14 00:00:00,3.4093880653381348,3.760168075561523,3.789997100830078,18427950,3.3326539993286133,3.4093880653381348,SOL,4,16,62,16,4,-9.227517830115172,10.965598021363277
2020-08-15 00:00:00,3.1837949752807617,3.412554979324341,3.719944953918457,13155762,3.1654651165008545,3.1837949752807617,SOL,4,15,62,17,4,-6.616820547677937,10.291432341906583
2020-08-16 00:00:00,3.385653018951416,3.185405969619751,3.4706881046295166,10395313,3.138688087463379,3.385653018951416,SOL,5,13,59,16,8,6.340170935562628,10.061527650242873
2020-08-17 00:00:00,3.098608016967773,3.385653018951416,3.3859989643096924,10723919,3.087985038757324,3.098608016967773,SOL,4,13,55,17,9,-8.478275841525685,10.40436229051528
2020-08-18 00:00:00,3.3299760818481445,3.104469060897827,3.709911108016968,30350145,2.894413948059082,3.3299760818481445,SOL,5,14,58,17,7,7.466838774488904,10.148815754157843
